city,latitude,longitude,population
New York,40.7128,-74.006,1000
Los Angeles,34.0522,-118.2437,850
Chicago,41.8781,-87.6298,700
Houston,29.7604,-95.3698,650
Phoenix,33.4484,-112.074,600
Philadelphia,39.9526,-75.1652,620
San Antonio,29.4241,-98.4936,500
San Diego,32.7157,-117.1611,540
Dallas,32.7767,-96.797,580
San Jose,37.3382,-121.8863,510
Atlanta,33.749,-84.388,480
Miami,25.7617,-80.1918,550
Seattle,47.6062,-122.3321,530
Boston,42.3601,-71.0589,600
Detroit,42.3314,-83.0458,490
Washington DC,38.9072,-77.0369,520
Orlando,28.5383,-81.3792,470
Minneapolis,44.9778,-93.265,450
Denver,39.7392,-104.9903,460
Las Vegas,36.1699,-115.1398,490
